productId,productname,description,price,demoprice,brand,image,category,subcategory,stock
kb-0001,Cowhead Pure Milk 1 ltr,Cowhead Pure Milk,319,329,Cowhead,https://lh3.google.com/u/0/d/1HDzgn-G7ht_cJQebwuMvvRUlHsSdTRvH=w948-h948-p-k-nu-iv1,Dairy,Liquid & UHT Milk,1000
kb-0002,Marks Full Cream Milk Powder 1 kg,MARKS Full Cream Milk Powder is nutritious and contains all the goodness of cow’s milk. It is loved by consumers of all ages.,780,790,Marks,https://lh3.google.com/u/0/d/19wqdzI-axR4wiVuKP-0o0DYGBEV8DO3B=w948-h948-p-k-nu-iv1,Dairy,Powder Milk & Cream,1000
kb-0003,Aarong Dairy Pasteurized Milk 500 ml,Aarong Dairy Pasteurized Milk,35,45,Aarong,https://lh3.google.com/u/0/d/1d0fbkUQ9_OFv6QghFUz0EtL21uBx29JN=w948-h948-p-k-nu-iv1,Dairy,Liquid & UHT Milk,1000
kb-0004,Aarong Butter 200 gm,"Aarong butter is a dairy product made by fresh or fermented cream or milk, to separate the butterfat from the buttermilk. It is generally used as a spread as well as in cooking.",240,250,Aarong,https://lh3.google.com/u/0/d/1p4yh3wfFDrRUxqezRckbo5iSQFZQlcPH=w948-h948-p-k-nu-iv1,Dairy,Butter & Sour cream,1000
kb-0005,Dano Daily Pusti Milk Powder 1 kg,Dano Daily Pusti Milk Powder,700,710,Dano,https://lh3.google.com/u/0/d/1J1mQedqaRmTcx-DJzizyTofhbfpX2WVW=w948-h948-p-k-nu-iv1,Dairy,Powder Milk & Cream,1000
kb-0006,Starship Condensed Milk 397 gm,"Starship sweetened condensed milk is homogenized and pasteurized to guarantee quality. Starship sweetened condensed filled milk adds taste and flavor to Tea, Coffee and Milk beverage. You can also use it in Pudding.",80,90,Starship,https://lh3.google.com/u/0/d/1kWeIFtQYqSofnRIEzoGrcGrSBuO0t-LH=w948-h948-p-k-nu-iv1,Dairy,Powder Milk & Cream,1000
kb-0007,Aarong Laban 250 ml,Aarong Dairy’s milk-based beverages are tasty and nutritious. It adds a whole lot of goodness to every occasion.,25,35,Aarong,https://lh3.google.com/u/0/d/1JH3T8ocitxVw32dFpPbWQZ6MqFc7_GKq=w948-h948-p-k-nu-iv1,Dairy,Borhani,1000
kb-0008,Dano Power Full Cream Milk Powder (Poly) 1 kg,"Provide the essential energy and nutrition your family needs for growth and strong health. Good source of vitamins, minerals, and protein. Fortified with extra calcium for strong bones and teeth. A useful flavor enhancer for soups, creamy sauces, curries, or desserts.",910,920,Dano,https://lh3.google.com/u/0/d/16aTEB9np3IEn3IBfYMBqA-e0KrEZrC-c=w948-h948-p-k-nu-iv1,Dairy,Powder Milk & Cream,1000
kb-0009,Diploma Instant Full Cream Milk Powder (Foil Pack) 200 gm,"Diploma Instant Full Cream Milk Powder provides all the cooking benefits of fresh full cream milk in a convenient powdered form. No need to refrigerate and it’s simple and easy to use – just add water for instant milk. A useful flavour enhancer for soups, creamy sauces, curries or desserts.",170,180,Diploma,https://lh3.google.com/u/0/d/1QQrkjMhAaTnHw6cCZZaH98YLmXTcvYgM=w948-h948-p-k-nu-iv1,Dairy,Powder Milk & Cream,1000
kb-0010,Aarong Dairy Pasteurized Milk 1 ltr,Aarong Dairy Pasteurized Milk,80,90,Aarong,https://lh3.google.com/u/0/d/140EnmAIa0BOvyi7uS0LX1URrj6nznoAM=w948-h948-p-k-nu-iv1,Dairy,Liquid & UHT Milk,1000
kb-0011,Dano Daily Pusti Milk Powder 500 gm,Dano Daily Pusti Milk Powder,365,375,Dano,https://lh3.google.com/u/0/d/1-NzaSYB6hgf0Vd-mwkjvOgRVjZqmvoZe=w948-h948-p-k-nu-iv1,Dairy,Powder Milk & Cream,1000
kb-0012,Aarong Dairy Sour Yogurt 500 ml,"Aarong Dairy sour yogurt boosts Immunity Level, prevents cold. It is also useful for better digestion and strengthening the bones.",100,110,Aarong,https://lh3.google.com/u/0/d/1mwa2f6PJ8n1DlPKXfilSwMDhebvnisOv=w948-h948-p-k-nu-iv1,Dairy,Yogurt,1000
kb-0013,Marks Full Cream Milk Powder 250 gm,Marks Full Cream Milk Powde,210,220,Marks,https://lh3.google.com/u/0/d/1KQcQqCGW3zXt28_ArEttWopfXvDGJBZg=w948-h948-p-k-nu-iv1,Dairy,Powder Milk & Cream,1000
kb-0014,Milk Vita Pasteurized Milk 500 ml,Milk Vita Pasteurized Milk,40,50,Milk Vita,https://lh3.google.com/u/0/d/15wBHVYp93ISjWR2A8puvv5IL8KUUEMiF=w948-h948-p-k-nu-iv1,Dairy,Liquid & UHT Milk,1000
kb-0015,Milk Vita Pasteurized Milk 1 ltr,Milk Vita Pasteurized Milk,80,90,Milk Vita,https://lh3.google.com/u/0/d/1Crw0IwWzWqgAAd1IvAQjgwXYzOT7vTeU=w948-h948-p-k-nu-iv1,Dairy,Liquid & UHT Milk,1000
kb-0016,Diploma Instant Full Cream Milk Powder (Foil Pack) 500 gm,"Diploma Instant Full Cream Milk Powder provides all the cooking benefits of fresh full cream milk in a convenient powdered form. No need to refrigerate and it’s simple and easy to use – just add water for instant milk. A useful flavour enhancer for soups, creamy sauces, curries or desserts.",415,425,Diploma,https://lh3.google.com/u/0/d/1HGWaNNEEiKldwNWPErm2KPAn8qogl0vx=w948-h948-p-k-nu-iv1,Dairy,Powder Milk & Cream,1000
kb-0017,Ayer 600 gm ± 50 gm,Long-whiskered catfish is a solid-fleshed fish with few bones. Ayer fish is delicious in curries with a lot of sauce.,389,399,Krishan Bazar,https://lh3.google.com/u/0/d/173Fb-tj86M-4t1CsZ-gw22yoIOCuL9HZ=w948-h948-p-k-nu-iv1,Kachabazar,Fish,1000
kb-0018,Rupchanda Nazirshail Rice 5 kg,Rupchanda Nazirshail Rice,465,475,Rupchanda,https://lh3.google.com/u/0/d/1Hc9NJBGicjtrtzRWcRm9wv2xMT0juTyQ=w948-h948-p-k-nu-iv1,Grocery,Rice,1000
kb-0019,Pran Nazirshail Rice 5 kg,"Pran Nazirshile Rice is partially boiled Rice and sun-dried carefully. In our regular meal, it contains good taste with minerals and vitamins. Nazirshail rice relieves from stomach acidity helpful for constipation and bowel problems.",480,490,Pran,https://lh3.google.com/u/0/d/1FD4f7uN6yH-LK_rm_qFW-AyIzxN3_Gco=w948-h948-p-k-nu-iv1,Grocery,Rice,1000
kb-0020,Foster Clark's Food Colour Blue 28ml,Contains non-toxic food chemical to enhance the taste. Lets you binge in attractive bakes,55,65,Foster Clark,https://lh3.google.com/u/0/d/1T5TnwWRM8vfr_ggAsw9MTuo3c1s5Z_Qz=w948-h948-p-k-nu-iv1,Grocery,Baking Needs,1000
kb-0021,Foster Clark Food Colour Red 28 ml,Contains non-toxic food chemical to enhance the taste. Lets you binge in attractive bakes,55,65,Foster Clark,https://lh3.google.com/u/0/d/1aUC-vCyiyDfjTHhILcHuo-X8lugH3AXf=w948-h948-p-k-nu-iv1,Grocery,Baking Needs,1000
kb-0022,Foster Clark Baking Powder 225 gm,"Foster Clark's Baking Powder specially prepared to help you make delicious sweet dishes and various sauces to garnish your savory dishes. To obtain the fine light texture which you desire in your cakes and pastries, replace one-eighth of the flour with Foster Clark's Baking Powder.",170,180,Foster Clark,https://lh3.google.com/u/0/d/131MEQqH2lSrhMvSDS_0yyVaFo_W3GWIj=w948-h948-p-k-nu-iv1,Grocery,Baking Needs,1000
kb-0023,Foster Clark Custard Powder 300 gm,"Foster Clark's Custard Powder specially prepared to help you make delicious sweet dishes and various sauces to garnish your savory dishes. To obtain the fine light texture which you desire in your cakes and pastries, replace one-eighth of the flour with Foster Clark's Custard Powder.",190,200,Foster Clark,https://lh3.google.com/u/0/d/1GymnWAV_bD5XHUq86yhT-kRGzR61Y_yX=w948-h948-p-k-nu-iv1,Grocery,Baking Needs,1000
kb-0024,Foster Clark Food Colour Green 28 ml,Contains non-toxic food chemical to enhance the taste. Lets you binge in attractive bakes,55,65,Foster Clark,https://lh3.google.com/u/0/d/1aas7bGXr-w2KR4LNV5owoQIEl_07feI0=w948-h948-p-k-nu-iv1,Grocery,Baking Needs,1000
kb-0025,Radhuni Kabab Masala 50 gm,Radhuni kabab masala is a rich mixture of spices necessary for preparing mouth-watering kababs.,80,90,Radhuni,https://lh3.google.com/u/0/d/1_QdVeYpwQiOEyVo6WEo6luYLzHNHu9H_=w948-h948-p-k-nu-iv1,Grocery,Spices & Mixes,1000
kb-0026,Radhuni Haleem Mix 200 gm,"Radhuni Haleem Mix is will give you the authentic taste of Bangladeshi haleem which can be cooked very easily by anyone. The ingredients for cooking haleem are given inside and all you need to do is add meat and oil. Altogether, it’s a very popular item during Ramadan but can also be enjoyed with family at anytime because it's a healthy and tasty wholesome meal.",45,55,Radhuni,https://lh3.google.com/u/0/d/1ary3F5SkEtWlcTdnFCYXSm59LPPvfgg0=w948-h948-p-k-nu-iv1,Grocery,Spices & Mixes,1000
kb-0027,Hash (Deshi) 900gm ± 100gm,Duck meat is extremely flavorful and nutrient dense. It's an excellent source of protein and healthy fat.,525,535,Cattle Meat,https://lh3.google.com/u/0/d/1nVn-d-m6EhZVc2BaNX16LCMfQZkHazzI=w948-h948-p-k-nu-iv1,Cattle Meat,Hash,1000
kb-0028,Radhuni Chicken Tandoori Masala 50 gm,"Radhuni Chicken Tandoori Masala is made from high quality and a selected variety of ingredients. It is 100% natural, free from adulterants, preservatives, artificial color, and flavor.",65,75,Radhuni,https://lh3.google.com/u/0/d/1pk4c-TvbWLnMbGXo0E_M-ZjFu2zkJS12=w948-h948-p-k-nu-iv1,Grocery,Spices & Mixes,1000
kb-0029,Radhuni Mango Falooda Mix 250 gm,"Radhuni Falooda Mix made with yummy ingredients of Fruits, Noodles, Basil Seed, Jelly Pieces, Almonds, Raisins, Shagu Pearls Along with Milk and Ice cream. Radhuni Falooda Mix is a very popular dessert to all aged people and enjoyable in every occasion. Radhuni Falooda Mix contains high level of energy, carbohydrate, protein, dietary fiber, fat & calcium to ensure healthy diet.",65,75,Radhuni,https://lh3.google.com/u/0/d/1xyLb_PJOcPozyVN10xPYCPMKnl2hDM2R=w948-h948-p-k-nu-iv1,Grocery,Spices & Mixes,1000
kb-0030,Radhuni Turmeric Regular 500 gm,"Apart from having excellent antiseptic and antibacterial properties, it has the distinct flavor and fragrance of coriander for your delicious preparations.",190,200,Radhuni,https://lh3.google.com/u/0/d/15JzSt0NNzC4ZBGxvDniAsxtm2a8ozdc8=w948-h948-p-k-nu-iv1,Grocery,Spices & Mixes,1000
kb-0031,Radhuni Turmeric Regular 100 gm,"Apart from having excellent antiseptic and antibacterial properties, it has the distinct flavor and fragrance of coriander for your delicious preparations.",40,50,Radhuni,https://lh3.google.com/u/0/d/1QKXB1JyojKWbHAkoRnruuGOYjy1TCOZM=w948-h948-p-k-nu-iv1,Grocery,Spices & Mixes,1000
kb-0032,Rui 1 kg ±50gm,"Freshwater fish Rui is enriched with protein, omega 3 fatty acids and vitamins A, B, and C.",319,329,Krishan Bazar,https://lh3.google.com/u/0/d/1ij5BdfF0bsuaNtIhluAVN-Lth_dU_Xl2=w948-h948-p-k-nu-iv1,Kachabazar,Fish,1000
kb-0033,Haldiram Lachha Shemai 200 gm,Haldiram Lachha Shemai,215,225,Haldiram,https://lh3.google.com/u/0/d/1S1l_bImSZvjfu6VVORwUt55-IsbuMZ7T=w948-h948-p-k-nu-iv1,Grocery,Shemai,1000
kb-0034,Aarong Chinigura Rice 1 kg,"""In Bangladesh right now, one of the most popular kind of rice is Aarong natural chinigura. It is grown in Bangladesh using conventional methods. Chinigura is fresh since the land is sandy and loamy.""",159,169,Aarong,https://lh3.google.com/u/0/d/10T7gVgvZ45_fBc7742Co8SL7dVPSg9J4=w948-h948-p-k-nu-iv1,Grocery,Rice,1000
kb-0035,Shol Processed (Whole) 250gm ± 50 gm,"Shol Fish or Snakehead Murrel is a favorite freshwater fish among Bengalis in West Bengal, Assam, and Bangladesh. It's a strong fish with firm meat that goes well in a variety of curries.",135,145,Krishan Bazar,https://lh3.google.com/u/0/d/1hHRo6C2i0MTX8c-aJ1I0cRWsuNkxcQfi=w948-h948-p-k-nu-iv1,Kachabazar,Fish,1000
kb-0036,Radhuni Chatpati Masala 50 gm,"Radhuni Chatpati Masala is a blend of different spices that makes the preparation easy, flavored, and tasty. Radhuni Chotpoti Masala is fresh and healthy.",30,40,Radhuni,https://lh3.google.com/u/0/d/1hIFdAWN_3QEIcA1NLtvCdkaXsnIGLMcM=w948-h948-p-k-nu-iv1,Grocery,Spices & Mixes,1000
kb-0037,Radhuni Borhani Masala 50 gm,Radhuni borhani masala eases preparation of the most popular beverage in our local culture. Borhani is always present before the rich meals in every special occasion and festival.,30,40,Radhuni,https://lh3.google.com/u/0/d/1K0zaVFfePGh2zeVpbMBt7JmrQ6aGV8Ad=w948-h948-p-k-nu-iv1,Grocery,Spices & Mixes,1000
kb-0038,Miniket Rice (P) 3kg ±15gm,"Miniket rice contains Vitamin B, thiamin, and anti-oxidant. Miniket rice is rich in Vitamin B1.",239,249,Krishan Bazar,https://lh3.google.com/u/0/d/1KHhNPUsBCHM4EGFfZT4xgpLWUBgwiLlp=w948-h948-p-k-nu-iv1,Grocery,Rice,1000
kb-0039,Pran Miniket Rice 5 kg,Pran Miniket Rice processed hygienically produced through contract farming and sorted in computerized sorted and D-stoner.,460,470,Pran,https://lh3.google.com/u/0/d/1u-ysBOBmLvLDogfNDESfV9zmaFf3D672=w948-h948-p-k-nu-iv1,Grocery,Rice,1000
kb-0040,Nazirshail Rice (P) 3kg ±15gm,Nazirshail is amazingly parboiled rice which is wealthy in quality. It is good for maintaining a good diet.,248,258,Krishan Bazar,https://lh3.google.com/u/0/d/19LR687yMbHN-vqn9dx_ndwKolD27x75b=w948-h948-p-k-nu-iv1,Grocery,Rice,1000
