productId,productname,description,price,discountInPercent,brand,image,category,subcategory,stock
kb-0001,Cowhead Pure Milk 1 ltr,Cowhead Pure Milk,329,5,Cowhead,https://lh3.google.com/u/0/d/1HDzgn-G7ht_cJQebwuMvvRUlHsSdTRvH=w948-h948-p-k-nu-iv1,Dairy,Liquid & UHT Milk,1000
kb-0002,Marks Full Cream Milk Powder 1 kg,MARKS Full Cream Milk Powder is nutritious and contains all the goodness of cow’s milk. It is loved by consumers of all ages., 790,5,Marks,https://lh3.google.com/u/0/d/19wqdzI-axR4wiVuKP-0o0DYGBEV8DO3B=w948-h948-p-k-nu-iv1,Dairy,Powder Milk & Cream,1000
kb-0031,Radhuni Turmeric Regular 100 gm,"Apart from having excellent antiseptic and antibacterial properties, it has the distinct flavor and fragrance of coriander for your delicious preparations.",50,5,Radhuni,https://lh3.google.com/u/0/d/1QKXB1JyojKWbHAkoRnruuGOYjy1TCOZM=w948-h948-p-k-nu-iv1,Grocery,Spices & Mixes,1000
kb-0032,Rui 1 kg ±50gm,"Freshwater fish Rui is enriched with protein, omega 3 fatty acids and vitamins A, B, and C.",329,5,Krishan Bazar,https://lh3.google.com/u/0/d/1ij5BdfF0bsuaNtIhluAVN-Lth_dU_Xl2=w948-h948-p-k-nu-iv1,Kachabazar,Fish,1000
kb-0033,Haldiram Lachha Shemai 200 gm,Haldiram Lachha Shemai,225,5,Haldiram,https://lh3.google.com/u/0/d/1S1l_bImSZvjfu6VVORwUt55-IsbuMZ7T=w948-h948-p-k-nu-iv1,Grocery,Shemai,1000
kb-0034,Aarong Chinigura Rice 1 kg,"""In Bangladesh right now, one of the most popular kind of rice is Aarong natural chinigura. It is grown in Bangladesh using conventional methods. Chinigura is fresh since the land is sandy and loamy.""",169,5,Aarong,https://lh3.google.com/u/0/d/10T7gVgvZ45_fBc7742Co8SL7dVPSg9J4=w948-h948-p-k-nu-iv1,Grocery,Rice,1000
kb-0035,Shol Processed (Whole) 250gm ± 50 gm,"Shol Fish or Snakehead Murrel is a favorite freshwater fish among Bengalis in West Bengal, Assam, and Bangladesh. It's a strong fish with firm meat that goes well in a variety of curries.",145,5,Krishan Bazar,https://lh3.google.com/u/0/d/1hHRo6C2i0MTX8c-aJ1I0cRWsuNkxcQfi=w948-h948-p-k-nu-iv1,Kachabazar,Fish,1000
kb-0036,Radhuni Chatpati Masala 50 gm,"Radhuni Chatpati Masala is a blend of different spices that makes the preparation easy, flavored, and tasty. Radhuni Chotpoti Masala is fresh and healthy.",40,5,Radhuni,https://lh3.google.com/u/0/d/1hIFdAWN_3QEIcA1NLtvCdkaXsnIGLMcM=w948-h948-p-k-nu-iv1,Grocery,Spices & Mixes,1000
kb-0037,Radhuni Borhani Masala 50 gm,Radhuni borhani masala eases preparation of the most popular beverage in our local culture. Borhani is always present before the rich meals in every special occasion and festival.,40,5,Radhuni,https://lh3.google.com/u/0/d/1K0zaVFfePGh2zeVpbMBt7JmrQ6aGV8Ad=w948-h948-p-k-nu-iv1,Grocery,Spices & Mixes,1000
kb-0038,Miniket Rice (P) 3kg ±15gm,"Miniket rice contains Vitamin B, thiamin, and anti-oxidant. Miniket rice is rich in Vitamin B1.",249,5,Krishan Bazar,https://lh3.google.com/u/0/d/1KHhNPUsBCHM4EGFfZT4xgpLWUBgwiLlp=w948-h948-p-k-nu-iv1,Grocery,Rice,1000
